NameOfMedicine;InternationalName;ActiveSubstance;Therapeutic;URL
Exblifep;"cefepime;enmetazobactam";"cefepime dihydrochloride monohydrate;Enmetazobactam";Exblifep is indicated for the treatment of the following infections in adults (see sections 4.4 and 5.1): - Complicated urinary tract infections (cUTI), including pyelonephritis - Hospital-acquired pneumonia (HAP), including ventilator associated pneumonia (VAP) Treatment of patients with bacteraemia that occurs in association with, or is suspected to be associated with, any of the infections listed above. Consideration should be given to official guidance on the appropriate use of antibacterial agents.;https://www.ema.europa.eu/en/medicines/human/EPAR/exblifep
Vocabria;cabotegravir;"Cabotegavir sodium;Cabotegravir";"Vocabria tablets are indicated in combination with rilpivirine tablets for the short-term treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA &lt;50 copies/mL) on a stable antiretroviral regimen without present or past evidence of viral resistance to, and no prior virological failure with agents of the NNRTI and INI class for:  oral lead in to assess tolerability of Vocabria and rilpivirine prior to administration of long acting cabotegravir injection plus long acting rilpivirine injection. oral therapy for adults who will miss planned dosing with cabotegravir injection plus rilpivirine injection.  Vocabria injection is indicated, in combination with rilpivirine injection, for the treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA &lt;50 copies/mL) on a stable antiretroviral regimen without present or past evidence of viral resistance to, and no prior virological failure with agents of the NNRTI and INI class.";https://www.ema.europa.eu/en/medicines/human/EPAR/vocabria
Faslodex;fulvestrant;fulvestrant;Faslodex is indicated  as monotherapy for the treatment of estrogen receptor positive, locally advanced or metastatic breast cancer in postmenopausal women:  not previously treated with endocrine therapy, or with disease relapse on or after adjuvant antiestrogen therapy, or disease progression on antiestrogen therapy.   in combination with palbociclib for the treatment of hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer in women who have received prior endocrine therapy.  In pre- or perimenopausal women, the combination treatment with palbociclib should be combined with a luteinizing hormone releasing hormone (LHRH) agonist.;https://www.ema.europa.eu/en/medicines/human/EPAR/faslodex
Faslodex;fulvestrant;fulvestrant;Faslodex is indicated  as monotherapy for the treatment of estrogen receptor positive, locally advanced or metastatic breast cancer in postmenopausal women:  not previously treated with endocrine therapy, or with disease relapse on or after adjuvant antiestrogen therapy, or disease progression on antiestrogen therapy.   in combination with palbociclib for the treatment of hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer in women who have received prior endocrine therapy.  In pre- or perimenopausal women, the combination treatment with palbociclib should be combined with a luteinizing hormone releasing hormone (LHRH) agonist.;https://www.ema.europa.eu/en/medicines/human/EPAR/faslodex
Kineret;anakinra;anakinra;Rheumatoid Arthritis (RA) Kineret is indicated in adults for the treatment of the signs and symptoms of RA in combination with methotrexate, with an inadequate response to methotrexate alone. COVID-19 Kineret is indicated for the treatment of coronavirus disease 2019 (COVID-19) in adult patients with pneumonia requiring supplemental oxygen (low- or high-flow oxygen) who are at risk of progressing to severe respiratory failure determined by plasma concentration of soluble urokinase plasminogen activator receptor (suPAR) ? 6 ng/ml. Periodic fever syndromes Kineret is indicated for the treatment of the following autoinflammatory periodic fever syndromes in adults, adolescents, children and infants aged 8 months and older with a body weight of 10 kg or above: Cryopyrin-Associated Periodic Syndromes (CAPS) Kineret is indicated for the treatment of CAPS, including:  Neonatal-Onset Multisystem Inflammatory Disease (NOMID) / Chronic Infantile Neurological, Cutaneous, Articular Syndrome (CINCA) Muckle-Wells Syndrome (MWS) Familial Cold Autoinflammatory Syndrome (FCAS)  Familial Mediterranean Fever (FMF) Kineret is indicated for the treatment of Familial Mediterranean Fever (FMF). Kineret should be given in combination with colchicine, if appropriate. Still’s Disease Kineret is indicated in adults, adolescents, children and infants aged 8 months and older with a body weight of 10 kg or above for the treatment of Still’s disease, including Systemic Juvenile Idiopathic Arthritis (SJIA) and Adult-Onset Still’s Disease (AOSD), with active systemic features of moderate to high disease activity, or in patients with continued disease activity after treatment with non-steroidal anti-inflammatory drugs (NSAIDs) or glucocorticoids. Kineret can be given as monotherapy or in combination with other anti-inflammatory drugs and disease-modifying antirheumatic drugs (DMARDs).;https://www.ema.europa.eu/en/medicines/human/EPAR/kineret
Esbriet;pirfenidone;Pirfenidone;Esbriet is indicated in adults for the treatment of idiopathic pulmonary fibrosis.;https://www.ema.europa.eu/en/medicines/human/EPAR/esbriet
Zeffix;lamivudine;lamivudine;"Zeffix is indicated for the treatment of chronic hepatitis B in adults with:  compensated liver disease with evidence of active viral replication, persistently elevated serum alanine aminotransferase (ALT) levels and histological evidence of active liver inflammation and / or fibrosis. Initiation of lamivudine treatment should only be considered when the use of an alternative antiviral agent with a higher genetic barrier is not available or appropriate; decompensated liver disease in combination with a second agent without cross-resistance to lamivudine.";https://www.ema.europa.eu/en/medicines/human/EPAR/zeffix
Nexium Control;esomeprazole;esomeprazole;Nexium Control is indicated for the short-term treatment of reflux symptoms (e.g. heartburn and acid regurgitation) in adults.;https://www.ema.europa.eu/en/medicines/human/EPAR/nexium-control
Blincyto;blinatumomab;blinatumomab;Blincyto is indicated as monotherapy for the treatment of adults with CD19 positive relapsed or refractory B precursor acute lymphoblastic leukaemia (ALL). Patients with Philadelphia chromosome positive B-precursor ALL should have failed treatment with at least 2 tyrosine kinase inhibitors (TKIs) and have no alternative treatment options. Blincyto is indicated as monotherapy for the treatment of adults with Philadelphia chromosome negative CD19 positive B-precursor ALL in first or second complete remission with minimal residual disease (MRD) greater than or equal to 0.1%. Blincyto is indicated as monotherapy for the treatment of paediatric patients aged 1 year or older with Philadelphia chromosome negative CD19 positive B precursor ALL which is refractory or in relapse after receiving at least two prior therapies or in relapse after receiving prior allogeneic haematopoietic stem cell transplantation. Blincyto is indicated as monotherapy for the treatment of paediatric patients aged 1 year or older with high-risk first relapsed Philadelphia chromosome negative CD19 positive B-precursor ALL as part of the consolidation therapy (see section 4.2).;https://www.ema.europa.eu/en/medicines/human/EPAR/blincyto
Thalidomide BMS (previously Thalidomide Celgene);thalidomide;Thalidomide;"Thalidomide BMS in combination with melphalan and prednisone as first line treatment of patients with untreated multiple myeloma, aged &gt;/= 65 years or ineligible for high dose chemotherapy. Thalidomide BMS is prescribed and dispensed according to the Thalidomide Celgene Pregnancy Prevention Programme (see section 4.4).";https://www.ema.europa.eu/en/medicines/human/EPAR/thalidomide-bms
Epysqli;;Eculizumab;Epysqli is indicated in adults and children for the treatment of:- Paroxysmal nocturnal haemoglobinuria (PNH).Evidence of clinical benefit is demonstrated in patients with haemolysis with clinical symptom(s) indicative of high disease activity, regardless of transfusion history.- Atypical haemolytic uremic syndrome (aHUS).;https://www.ema.europa.eu/en/medicines/human/EPAR/epysqli
Bosulif;bosutinib;bosutinib (as monohydrate);Bosulif is indicated for the treatment of adult patients with:  newly?diagnosed chronic phase (CP) Philadelphia chromosome-positive chronic myelogenous leukaemia (Ph+ CML). CP, accelerated phase (AP), and blast phase (BP) Ph+ CML previously treated with one or more tyrosine kinase inhibitor(s) [TKI(s)] and for whom imatinib, nilotinib and dasatinib are not considered appropriate treatment options.;https://www.ema.europa.eu/en/medicines/human/EPAR/bosulif
Bosulif;bosutinib;bosutinib (as monohydrate);Bosulif is indicated for the treatment of adult patients with:  newly?diagnosed chronic phase (CP) Philadelphia chromosome-positive chronic myelogenous leukaemia (Ph+ CML). CP, accelerated phase (AP), and blast phase (BP) Ph+ CML previously treated with one or more tyrosine kinase inhibitor(s) [TKI(s)] and for whom imatinib, nilotinib and dasatinib are not considered appropriate treatment options.;https://www.ema.europa.eu/en/medicines/human/EPAR/bosulif
Phelinun;melphalan;melphalan hydrochloride;High-dose of Phelinun used alone or in combination with other cytotoxic medicinal products and/or total body irradiation is indicated in the treatment of:  multiple myeloma, malignant lymphoma (Hodgkin, non-Hodgkin lymphoma), acute lymphoblastic and myeloblastic leukemia, childhood neuroblastoma, ovarian cancer, mammary adenocarcinoma.  Phelinun in combination with other cytotoxic medicinal products is indicated as reduced intensity conditioning (RIC) treatment prior to allogeneic haematopoietic stem cell transplantation (allo-HSCT) in malignant haematological diseases in adults. Phelinun in combination with other cytotoxic medicinal products is indicated as conditioning regimen prior to allogeneic haematopoietic stem cell transplantation in haematological diseases in the paediatric population as:  Myeloablative conditioning (MAC) treatment in case of malignant haematological diseases RIC treatment in case of non-malignant haematological diseases.;https://www.ema.europa.eu/en/medicines/human/EPAR/phelinun
